cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
5463,PE,-75.311132,-10.151093,784,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5464,CF,20.482826,6.571341,111,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5465,EG,29.871903,26.494184,5,IL,34.865459,31.086887,2012/04/22  0:16:18,2012/04/22  0:16:18,
5466,AT,14.300144,47.607798,16,RU,96.669705,61.994573,2012/04/22  0:16:18,2012/04/22  0:16:18,
5467,BR,-51.619789,-9.588903,118,NO,8.804821,61.248333,2012/04/22  0:16:18,2012/04/22  0:16:18,
5468,GB,-1.428851,52.576441,239,CY,33.221762,35.045882,2012/04/22  0:16:18,2012/04/22  0:16:18,
5469,GN,-11.029862,10.785546,1313,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5470,CA,-105.75059,55.585901,1,DO,-70.109933,18.852633,2012/04/22  0:16:18,2012/04/22  0:16:18,
5471,GY,-58.974781,5.623823,2,FI,26.199539,62.777754,2012/04/22  0:16:18,2012/04/22  0:16:18,
5472,KY,-81.238451,19.308662,10,JP,138.59223,36.386493,2012/04/22  0:16:18,2012/04/22  0:16:18,
5473,CG,15.992858,-0.305605,12,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5474,TF,,,6,FR,2.618787,47.824905,2012/04/22  0:16:18,2012/04/22  0:16:18,
5475,BR,-51.619789,-9.588903,95,SE,17.675409,64.964875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5476,MM,96.506921,21.154319,9,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
5477,MG,46.705984,-19.373534,2681,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5478,TO,-174.83129,-20.393369,183,DK,10.046297,55.963398,2012/04/22  0:16:18,2012/04/22  0:16:18,
5479,CO,-73.073215,3.900749,4,MQ,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5480,CA,-105.75059,55.585901,2,BZ,-88.686007,17.216854,2012/04/22  0:16:18,2012/04/22  0:16:18,
5481,OM,57.086424,21.383637,4,SG,103.808053,1.351616,2012/04/22  0:16:18,2012/04/22  0:16:18,
5482,UG,32.386218,1.279964,76,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5483,CG,15.992858,-0.305605,1,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5484,LY,18.02328,27.043961,1,SU,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5485,DZ,2.632388,28.16324,2,IT,12.646361,42.504154,2012/04/22  0:16:18,2012/04/22  0:16:18,
5486,KW,47.590604,29.341212,10,AE,54.256172,23.85206,2012/04/22  0:16:18,2012/04/22  0:16:18,
5487,SC,52.229874,-6.354384,35,DE,10.018343,51.133481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5488,BE,4.663989,50.642851,528,MX,-102.53286,23.950464,2012/04/22  0:16:18,2012/04/22  0:16:18,
5489,BR,-51.619789,-9.588903,128,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5490,AG,-61.791238,17.279816,3,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
